name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage(kmpl/kmpkg),engine(CC),max_power(bhp),seats
MarutiSwiftDzireVDI,2014,450000,145500,Diesel,Individual,Manual,FirstOwner,23.4,1248,74,5
SkodaRapid1.5TDIAmbition,2014,370000,120000,Diesel,Individual,Manual,SecondOwner,21.14,1498,103.52,5
HondaCity2017-2020EXi,2006,158000,140000,Petrol,Individual,Manual,ThirdOwner,17.7,1497,78,5
Hyundaii20SportzDiesel,2010,225000,127000,Diesel,Individual,Manual,FirstOwner,23,1396,90,5
MarutiSwiftVXIBSIII,2007,130000,120000,Petrol,Individual,Manual,FirstOwner,16.1,1298,88.2,5
HyundaiXcent1.2VTVTEPlus,2017,440000,45000,Petrol,Individual,Manual,FirstOwner,20.14,1197,81.86,5
MarutiWagonRLXIDUOBSIII,2007,96000,175000,LPG,Individual,Manual,FirstOwner,17.3,1061,57.5,5
Maruti800DXBSII,2001,45000,5000,Petrol,Individual,Manual,SecondOwner,16.1,796,37,4
ToyotaEtiosVXD,2011,350000,90000,Diesel,Individual,Manual,FirstOwner,23.59,1364,67.1,5
FordFigoDieselCelebrationEdition,2013,200000,169000,Diesel,Individual,Manual,FirstOwner,20,1399,68.1,5
RenaultDuster110PSDieselRxL,2014,500000,68000,Diesel,Individual,Manual,SecondOwner,19.01,1461,108.45,5
MarutiZenLX,2005,92000,100000,Petrol,Individual,Manual,SecondOwner,17.3,993,60,5
MarutiSwiftDzireVDi,2009,280000,140000,Diesel,Individual,Manual,SecondOwner,19.3,1248,73.9,5
MarutiSwift1.3VXi,2007,200000,80000,Petrol,Individual,Manual,SecondOwner,,,,
MarutiWagonRLXIMinor,2009,180000,90000,Petrol,Individual,Manual,SecondOwner,18.9,1061,67,5
MahindraKUV100mFALCONG80K85str,2016,400000,40000,Petrol,Individual,Manual,FirstOwner,18.15,1198,82,5
MarutiErtigaSHVSVDI,2016,778000,70000,Diesel,Individual,Manual,SecondOwner,24.52,1248,88.5,7
Hyundaii201.4CRDiAsta,2012,500000,53000,Diesel,Individual,Manual,SecondOwner,23,1396,90,5
MarutiAltoLX,2002,150000,80000,Petrol,Individual,Manual,SecondOwner,19.7,796,46.3,5
Hyundaii202015-2017Asta1.4CRDi,2016,680000,100000,Diesel,Individual,Manual,FirstOwner,22.54,1396,88.73,5
MahindraVerito1.5D4BSIII,2011,174000,100000,Diesel,Individual,Manual,SecondOwner,21,1461,64.1,5
